symbol,mse,rmse
TSLA,0.0025681932475778877,0.05067734451979393
META,0.0010558396067834096,0.032493685644805044
MSFT,0.0003841517831555898,0.019599790385501314
AAPL,0.0005999844081962652,0.02449457915940311
NVDA,0.001175526793967933,0.03428595622070257
GOOGL,0.0006326472020775941,0.025152479044372428
AMZN,0.0008210790371918283,0.028654476739103582
AMD,0.001320690327755726,0.036341303330449305
INTC,0.0006869850908006414,0.026210400431901863
F,0.0022600836952230406,0.04754033755899342
XOM,0.00046706938828136173,0.021611788178708437
MU,0.0006858492541254302,0.026188723797188555
T,0.0002958945820708428,0.017201586614927204
DIS,0.0004950160158724225,0.022248955388341776
BA,0.0028345673906990656,0.0532406554307802
JNJ,0.00015047082928887448,0.01226665517934186
VZ,0.0002199340861714252,0.014830174853029386
ENPH,0.001987930200139304,0.04458621087443184
PFE,0.00023994904940242105,0.015490288874079175
CMCSA,0.0003341601359276695,0.01828004748154855
NFLX,0.0012668564084023903,0.03559292638154933
BAC,0.00043490166488810184,0.020854296077501677
RTX,0.00028846051842052676,0.01698412548294809
KO,0.00014030931053857652,0.011845223110544457
CCL,0.001736488397653511,0.041671193859229794
BMY,0.00019904584822689003,0.014108360933393007
CSCO,0.0002703800509421569,0.0164432372403416
ON,0.0011195310513603142,0.033459394067441126
JPM,0.000273111635890974,0.01652608955231013
C,0.0004750515043766417,0.021795676277111514
LUV,0.0006832735599484469,0.02613950190704572
GM,0.0010180011267517009,0.03190612992438445
KDP,0.0003933114947186435,0.01983208246046399
NCLH,0.0015961450554967038,0.039951784134087225
QCOM,0.0006342661183196612,0.02518464052393167
TXN,0.00032494623617564106,0.01802626517544999
PLUG,0.005077765259746368,0.0712584399193974
SBUX,0.0018923757217562392,0.04350144505365585
