symbol,shortable,day_bar_mean,day_bar_std,Short Name,GICS Sector,GICS Ind Grp Name,GICS Ind Name,GICS SubInd Name,ISIN,name,exchange,tradable,status,fractionable,margin_req,wk_day_bar,m_day_bar,Q_day_bar,last,Q_Avg_TO,m_Avg_TO,wk_Avg_TO,m2Q_TO_Ratio,wk2Q_TO_Ratio,wk2m_vol_Ratio,wk2m_day_bar_Ratio,wk_Avg_trades,m_Avg_trades,Q_Avg_trades,day_2_wk_trades,wk_2_m_trades_ratio,wk_pr_change,d_ret_std,day_return_mean,day_return_std,m2Q_VolRatio,open_gap,day_gap,last2open,last2prev_close,wk_ch_perc,m_ch_perc,past_corr,Q_loc
TSLA,1.0,3.857079768978379,1.477350836680589,TESLA INC,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,US88160R1014,"Tesla, Inc. Common Stock",NASDAQ,1.0,active,1.0,50.0,303.2985192903368,342.52771847609495,385.70797689783785,263.52,30963.933814409364,31659.19998001933,22764.51681042464,1.022454064453736,0.735194595973169,0.7440376559104964,-39.22919918575815,959.7894,1295.17365,1356.8694375,0.5097274464585668,0.7410507463613084,-0.6634499396863669,2.879391981831244,0.8191047427926577,2.9148121423070563,0.8676924460941644,0.0,0.0,-1.0290693307293708,-1.4620648393972369,-0.6634499396863669,-5.825173325709388,-45.88816592258892,77.58400360820868
MSFT,1.0,1.9650137802266123,0.9984951417265264,MICROSOFT CORP,Information Technology,Software & Services,Software,Systems Software,US5949181045,Microsoft Corporation Common Stock,NASDAQ,1.0,active,1.0,30.0,235.86642572928753,241.85343543545406,196.50137802266124,337.3637,9177.171589705153,10928.383701159608,10680.620558608829,1.1908226401061244,1.1638248728606349,0.9973459861648358,-5.987009706166532,558.2062,508.1874,422.47659375,0.266865541801578,1.0984258956440083,-3.8795088039204617,1.5219684585185091,0.1720950474930125,1.521387435393959,1.1503451827850746,0.0,0.0,0.6484978668814589,0.42977494641580627,-3.8795088039204617,-0.18530134027634482,0.4787970003005649,60.31156950672643
META,1.0,2.7866113080306114,0.8412458948651792,META PLATFORMS-A,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,US30303M1027,"Meta Platforms, Inc. Class A Common Stock",NASDAQ,1.0,active,1.0,30.0,337.468238395668,309.3957994799292,278.66113080306116,320.95,6893.5226235633345,9558.459504039422,11726.441083975393,1.3865856436543547,1.701081105310694,1.1859807312233637,28.072438915738758,493.25620000000004,406.9038,310.26717187500003,0.2578092277400669,1.2122182196381552,8.992427072367292,2.428669197322816,0.4569395760581743,1.7790302431980587,1.2645159324808843,-0.017263025737586306,0.0,1.0754719952131175,0.7376020087884294,8.992427072367292,12.212432697014197,43.9560516757036,95.10851959831548
AAPL,1.0,1.4236954221900295,0.5488292891641249,APPLE INC,Information Technology,Technology Hardware & Equipment,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",US0378331005,Apple Inc. Common Stock,NASDAQ,1.0,active,1.0,30.0,125.36024024351855,139.84999322371084,142.36954221900297,195.815,10017.030683524985,9426.053460849382,7614.275102350371,0.9410027540748593,0.7601329518610312,0.7964487146358792,-14.489752980192293,477.6208,555.93785,581.6532187500001,0.5653292318927484,0.8591262494539632,1.1336638776985763,1.0609405274962302,0.23584212145551237,1.0237709897802305,0.89135370995406,0.0,0.0,-0.21402909776544465,-0.3232374650038117,1.1336638776985763,1.7432193702587417,84.96475216018538,97.94431854969248
NVDA,1.0,3.2787322451881624,1.3748367547628788,NVIDIA CORP,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US67066G1040,NVIDIA Corporation Common Stock,NASDAQ,1.0,active,1.0,30.0,228.3066351671543,297.784771780615,327.87322451881624,467.595,18863.937929454463,19446.794846481673,14026.770480806055,1.0308979450211786,0.7435759454500974,0.7025083292785107,-69.47813661346072,434.56140000000005,570.6673000000001,636.90071875,0.43142119847736127,0.7614969352545695,2.365419558221493,3.845334421889016,0.8314078900320037,3.8067560000362843,0.8934241801344313,-0.0995313402811851,0.0,0.6457236948309797,0.06526996083802139,2.365419558221493,10.248037158418422,65.45941955693263,96.31552545773765
GOOGL,1.0,2.3318895183409167,0.923350579486165,ALPHABET INC-A,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services,US02079K3059,Alphabet Inc. Class A Common Stock,NASDAQ,1.0,active,1.0,30.0,215.5242454100068,226.16773804240796,233.1889518340917,132.2725,4084.2596339959227,4352.399743070495,4734.935968574319,1.0656520723713716,1.159313166372284,1.0280329909096249,-10.643492632401149,388.06100000000004,363.43455,349.412140625,0.34823906550774236,1.067760343643718,8.233777923246887,1.8291598174507853,0.34959390505925036,1.7792434551712164,1.0386132572559081,-0.7534659433393611,0.0,1.1450965398585478,-0.3371760096443577,8.233777923246887,10.319015846538782,79.60797191377314,98.40349625401359
AMZN,1.0,2.3749030870599355,0.848322141187645,AMAZON.COM INC,Consumer Discretionary,Consumer Discretionary Distribution & Retail,Broadline Retail,Broadline Retail,US0231351067,"Amazon.com, Inc. Common Stock",NASDAQ,1.0,active,1.0,30.0,233.72637898374825,212.21633929310337,237.49030870599356,132.235,7083.818528405944,6861.8180937204015,5522.984155993925,0.9686609088311162,0.7796620048702392,0.8058782646193297,21.510039690644874,402.058,446.1157,469.613390625,0.41875550293738717,0.9012415389101975,2.404553550685362,1.883775328496036,0.42610839627844604,1.6864426528140464,0.9047808378221648,0.0,0.0,-0.9846499438412537,-1.0809395571514058,2.404553550685362,1.5473813546306392,5.31373985100411,90.61843290303213
AMD,1.0,4.104602623793569,1.8519683027962832,ADV MICRO DEVICE,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US0079031078,"Advanced Micro Devices, Inc. Common Stock",NASDAQ,1.0,active,1.0,30.0,301.8725327666902,340.4967553006537,410.4602623793568,117.044,7728.960467393712,6488.324601618256,5912.141434272003,0.8394821824992705,0.7649335844339802,0.9190064708851768,-38.62422253396352,384.3956,423.31555,492.58634375,0.5644393432182887,0.9080592480006936,3.5787610619469,3.280017517968165,0.4754683316329185,3.2570480930075902,0.8184966331861723,0.0,0.0,2.4365482233502433,2.3111888111888135,3.5787610619469,1.0568122949404346,-15.806910311044856,74.46710111414757
INTC,1.0,3.28052019509098,1.542031552397693,INTEL CORP,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Semiconductors,US4581401001,Intel Corporation Common Stock,NASDAQ,1.0,active,1.0,30.0,301.80702208413516,274.5577650867646,328.052019509098,35.5975,1400.1067331841211,1332.2970166612995,1759.807237408387,0.951568180542487,1.2569093453370055,1.2632996058270491,27.249256997370537,252.5714,198.0464,226.15620312500002,0.25509618270318807,1.2753142697872821,4.391495601173001,2.648057548392992,0.29850586208225816,2.7123017094890964,0.9003837380908273,0.0,0.0,-0.6211613623674062,-0.48224769359800357,4.391495601173001,5.8819155264723255,79.78632671861068,86.93001060445386
RIVN,1.0,6.8144543991105015,2.6644874812673707,RIVIAN AUTOMOT-A,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,US76954A1034,"Rivian Automotive, Inc. Class A Common Stock",NASDAQ,1.0,active,1.0,100.0,586.6978610755007,783.8299741813892,681.4454399110502,26.665,944.1192156996287,2078.8952772969133,1314.7917181024334,2.201941495022291,1.3926119670471087,0.5789269335734716,-197.1321131058885,233.9234,374.13790000000006,216.409453125,0.3885032450793722,0.6252331025538979,5.187376725838244,4.344398138437429,1.282446805087236,4.404380991232331,1.81618869927527,0.0,0.0,-1.930856932695857,-3.5274963820549954,5.187376725838244,36.3241308793456,70.63242860448017,93.49566377585055
